Section,Key,Context,English,Dutch,Notes
Privacy & Security,privacy.card1.title,First card title,No surveillance,,Key promise
Privacy & Security,privacy.card1.description,First card description,"No cameras, no audio, no constant tracking. SafeCircle observes simple activity patterns only, nothing personal or invasive.",,What we don't do
Privacy & Security,privacy.card2.title,Second card title,You control what's shared,,User control
Privacy & Security,privacy.card2.description,Second card description,"Choose exactly what each trusted contact can see. Optionally share helpful information like location only when an alert is triggered.",,Granular control
Privacy & Security,privacy.card3.title,Third card title,Information is encrypted and secure,,Security promise
Privacy & Security,privacy.card3.description,Third card description,"Bank-level encryption protects everything. Only people you explicitly authorize can see what you've chosen to share.",,Technical security
Privacy & Security,privacy.card4.title,Fourth card title,Maximum privacy mode available,,Extra privacy option
Privacy & Security,privacy.card4.description,Fourth card description,"Want even less data shared? Use push-notification-only mode: No activity data, just simple check-ins you confirm yourself.",,Ultimate privacy mode
FAQ,faq.title,Section heading,Common questions,,Q&A section
FAQ,faq.q1.question,First FAQ question,Will I need to remember to check in daily?,,Common concern
FAQ,faq.q1.answer,First FAQ answer,"No. SafeCircle works passively in the background. There are no buttons to press, no daily tasks, and nothing to remember.",,Reassurance
FAQ,faq.q2.question,Second FAQ question,How is my information protected?,,Security concern
FAQ,faq.q2.answer,Second FAQ answer,"Your data is encrypted with bank-level security. You control exactly who can access what, and when. Your information is never shared without your permission.",,Security details
FAQ,faq.q3.question,Third FAQ question,Do my trusted contacts need to install the app?,,Technical question
FAQ,faq.q3.answer,Third FAQ answer,"No. Your trusted contacts can receive alerts via SMS, WhatsApp, or email. Installing the app gives them access to a dashboard for reassurance, but it's completely optional.",,Flexibility
FAQ,faq.q4.question,Fourth FAQ question,What if I go on vacation or change my routine?,,Lifestyle question
FAQ,faq.q4.answer,Fourth FAQ answer,"You can easily pause monitoring or adjust your routine settings anytime. SafeCircle adapts to your life, not the other way around.",,Adaptability
FAQ,faq.q5.question,Fifth FAQ question,How does the 14-day money-back guarantee work?,,Purchase concern
FAQ,faq.q5.answer,Fifth FAQ answer,"Try SafeCircle risk-free for 14 days. If you're not satisfied for any reason, simply cancel your subscription in the app within 14 days of your purchase and you'll automatically receive a full refund—no questions asked, no need to contact us.",,Money-back guarantee details
Final CTA,finalcta.title,Section heading,"Live independently, stay prepared",,Closing message
Final CTA,finalcta.subtitle,Section subtitle,Join SafeCircle today. 14-day money-back guarantee.,,Call to action
Final CTA,finalcta.button,Primary button,Get Started,,Action button
Navigation,nav.brand,Header logo text,SafeCircle,,Brand name
Navigation,nav.why,Navigation menu item,Why SafeCircle,,Links to problem section
Navigation,nav.howitworks,Navigation menu item,How it works,,Links to how-it-works section
Navigation,nav.pricing,Navigation menu item,Pricing,,Links to pricing section
Navigation,nav.privacy,Navigation menu item,Privacy & Security,,Links to privacy section
Navigation,nav.cta,Header CTA button,Get started,,Action button
Footer,footer.tagline,Footer tagline,Peace of mind for independent living.,,Brand promise
Footer,footer.product.heading,Footer column heading - Product,Product,,Section title
Footer,footer.product.why,Footer link,Why SafeCircle,,Links to features
Footer,footer.product.pricing,Footer link,Pricing & What's Included,,Links to pricing
Footer,footer.product.privacy,Footer link,Privacy & Security,,Links to privacy
Footer,footer.product.devices,Footer link,Smart Devices,,Links to devices page
Footer,footer.support.heading,Footer column heading - Support,Support,,Section title
Footer,footer.support.help,Footer link,Help Center,,Links to help
Footer,footer.support.contact,Footer link,Contact Us,,Links to contact
Footer,footer.legal.heading,Footer column heading - Legal,Legal,,Section title
Footer,footer.legal.privacy,Footer link,Privacy Policy,,Links to privacy policy
Footer,footer.legal.terms,Footer link,Terms of Service,,Links to terms
Footer,footer.legal.security,Footer link,Security,,Links to security info
Footer,footer.legal.screenshots,Footer link,App Screenshots,,Links to screenshots
Footer,footer.legal.design,Footer link,Design System,,Links to design system
Footer,footer.copyright,Copyright text,© 2025 SafeCircle. All rights reserved.,,Legal text
