Section,Key,Context,Page,English,Dutch,Notes
WHY IT MATTERS,whyitmatters.howitworks.step3,Third step,Landing Page,"If your routine changes significantly (for example, no activity is detected for an unusual length of time) SafeCircle waits a period you decide, then alerts your trusted contacts via the app, SMS, WhatsApp, or email. They can reach out to you directly.","Als je routine significant verandert (bijvoorbeeld als er ongewoon lang geen activiteit gedetecteerd wordt), wacht SafeCircle een periode die jij bepaalt en waarschuwt dan je vertrouwde contacten via de app, sms, WhatsApp of e-mail. Zij kunnen dan rechtstreeks contact met je opnemen.",Alert mechanism
WHY IT MATTERS,whyitmatters.howitworks.step4,Fourth step,Landing Page,"You can manually check in anytime, adjust your settings, or pause monitoring when you're traveling or your schedule changes.","Je kunt altijd handmatig inchecken, je instellingen aanpassen of de monitoring pauzeren wanneer je op reis bent of je schema verandert.",Flexibility
WHY IT MATTERS,whyitmatters.whatitisnot.title,What this is not - section heading,Landing Page,What this is not,Wat dit niet is,Set expectations
WHY IT MATTERS,whyitmatters.whatitisnot.item1.title,Not emergency services title,Landing Page,Not emergency services.,Geen hulpdiensten.,Bold title
WHY IT MATTERS,whyitmatters.whatitisnot.item1.text,Not emergency services text,Landing Page,"SafeCircle alerts your contacts, not 911. It's designed for peace of mind, not crisis response.","SafeCircle waarschuwt je contacten, niet 112. Het is ontworpen voor gemoedsrust, niet voor crisisrespons.",Clarify scope
WHY IT MATTERS,whyitmatters.whatitisnot.item2.title,Not medical monitoring title,Landing Page,Not medical monitoring.,Geen medische monitoring.,Bold title
WHY IT MATTERS,whyitmatters.whatitisnot.item2.text,Not medical monitoring text,Landing Page,"It doesn't track health metrics, fall detection, or vital signs. It observes general activity patterns only.","Het houdt geen gezondheidsgegevens, valdetectie of vitale functies bij. Het observeert alleen algemene activiteitspatronen.",Clarify scope
WHY IT MATTERS,whyitmatters.whatitisnot.item3.title,Not surveillance title,Landing Page,Not surveillance.,Geen bewaking.,Bold title
WHY IT MATTERS,whyitmatters.whatitisnot.item3.text,Not surveillance text,Landing Page,"No cameras, no constant tracking, no recording of what you're doing. Just pattern recognition from devices you already use.","Geen camera's, geen constante tracking, geen opnames van wat je aan het doen bent. Alleen patroonherkenning van apparaten die je al gebruikt.",Privacy reassurance
PRICING,pricing.title,Section heading,Landing Page,Peace of mind your way,Gemoedsrust op jouw manier,Flexibility message
PRICING,pricing.subtitle,Section subtitle,Landing Page,All plans come with a 14-day money-back guarantee. Cancel anytime.,Alle abonnementen hebben 14 dagen geld-terug-garantie. Stop wanneer je wilt.,Risk-free promise
PRICING,pricing.toggle.monthly,Billing toggle - monthly option,Landing Page / Checkout,Monthly,Maandelijks,Billing frequency
PRICING,pricing.toggle.yearly,Billing toggle - yearly option,Landing Page / Checkout,Yearly,Jaarlijks,Billing frequency
PRICING,pricing.toggle.save,Save badge on yearly toggle,Landing Page / Checkout,Save 20%,Bespaar 20%,Discount indicator
PRICING,pricing.basic.name,Basic plan name,Landing Page / Checkout,Basic,Basis,Plan tier
PRICING,pricing.basic.description,Basic plan description,Landing Page / Checkout,Smartphone monitoring. Automatic alerts when your routine breaks. Peace of mind without surveillance.,Smartphone monitoring. Automatische waarschuwingen wanneer je routine doorbroken wordt. Gemoedsrust zonder bewaking.,Plan summary
PRICING,pricing.basic.feature1,Basic plan - first feature,Landing Page / Checkout,Daily reassurance for you and loved ones,Dagelijkse geruststelling voor jou en je naasten,Feature title
PRICING,pricing.basic.feature1.outcome,Basic plan - first feature outcome,Landing Page / Checkout,peace of mind for everyone,gemoedsrust voor iedereen,Italic outcome text
PRICING,pricing.basic.feature2,Basic plan - second feature,Landing Page / Checkout,Smart alert notifications,Slimme waarschuwingen,Feature title
PRICING,pricing.basic.feature2.outcome,Basic plan - second feature outcome,Landing Page / Checkout,alerts only when needed,alleen waarschuwingen wanneer nodig,Italic outcome text
PRICING,pricing.basic.feature3,Basic plan - third feature,Landing Page / Checkout,Trusted contact dashboard,Dashboard voor vertrouwde contacten,Feature title
PRICING,pricing.basic.feature3.outcome,Basic plan - third feature outcome,Landing Page / Checkout,quiet confirmation you're okay,rustige bevestiging dat het goed met je gaat,Italic outcome text
PRICING,pricing.basic.feature4,Basic plan - fourth feature,Landing Page / Checkout,Privacy-first design,Privacy-first ontwerp,Feature title
PRICING,pricing.basic.feature4.outcome,Basic plan - fourth feature outcome,Landing Page / Checkout,minimal data collection,minimale dataverzameling,Italic outcome text
PRICING,pricing.full.name,Full plan name,Landing Page / Checkout,Full,Volledig,Plan tier
PRICING,pricing.full.description,Full plan description,Landing Page / Checkout,Optional devices,Optionele apparaten,Plan summary
PRICING,pricing.full.badge,Most popular badge,Landing Page / Checkout,MOST POPULAR,MEEST GEKOZEN,Plan popularity indicator
PRICING,pricing.full.feature1,Full plan - first feature,Landing Page / Checkout,Everything in Basic,Alles van Basis,Feature title
PRICING,pricing.full.feature1.outcome,Full plan - first feature outcome,Landing Page / Checkout,all core features included,alle kernfuncties inbegrepen,Italic outcome text
PRICING,pricing.full.feature2,Full plan - second feature,Landing Page / Checkout,Smart device integration,Slimme apparaten koppelen,Feature title
PRICING,pricing.full.feature2.outcome,Full plan - second feature outcome,Landing Page / Checkout,"works with lights, locks, and more","werkt met lampen, sloten en meer",Italic outcome text
PRICING,pricing.full.feature3,Full plan - third feature,Landing Page / Checkout,Enhanced monitoring,Uitgebreidere monitoring,Feature title
PRICING,pricing.full.feature3.outcome,Full plan - third feature outcome,Landing Page / Checkout,more accurate activity patterns,nauwkeurigere activiteitspatronen,Italic outcome text
PRICING,pricing.full.feature4,Full plan - fourth feature,Landing Page / Checkout,Priority support,Voorrang bij support,Feature title
PRICING,pricing.full.feature4.outcome,Full plan - fourth feature outcome,Landing Page / Checkout,fast help when needed,snelle hulp wanneer nodig,Italic outcome text
PRICING,pricing.permonth,Price unit,Landing Page / Checkout,/month,/maand,Pricing suffix
PRICING,pricing.peryear,Price unit - yearly,Checkout,/year,/jaar,Pricing suffix for yearly
PRICING,pricing.yearly.savings,Yearly savings text,Landing Page,€{yearlyTotal}/year - Save 20%,€{yearlyTotal}/jaar - Bespaar 20%,Shows annual cost and savings
PRICING,pricing.cta,Plan CTA button,Landing Page / Checkout,Get Started,Aan de slag,Action button
PRIVACY,privacy.title,Section heading,Landing Page,We respect your privacy,We respecteren je privacy,Core value
PRIVACY,privacy.card1.title,First card title,Landing Page,No surveillance,Geen bewaking,Key promise
PRIVACY,privacy.card1.description,First card description,Landing Page,"No cameras, no audio, no constant tracking. SafeCircle observes simple activity patterns only, nothing personal or invasive.","Geen camera's, geen audio, geen constante tracking. SafeCircle observeert alleen simpele activiteitspatronen, niks persoonlijks of invasiefs.",What we don't do
PRIVACY,privacy.card2.title,Second card title,Landing Page,You control what's shared,Jij bepaalt wat er gedeeld wordt,User control
PRIVACY,privacy.card2.description,Second card description,Landing Page,"Choose exactly what each trusted contact can see. Optionally share helpful information like location only when an alert is triggered.","Kies precies wat elk vertrouwd contact kan zien. Deel optioneel nuttige informatie zoals je locatie alleen wanneer er een waarschuwing afgaat.",Granular control
PRIVACY,privacy.card3.title,Third card title,Landing Page,Information is encrypted and secure,Informatie is versleuteld en veilig,Security promise
PRIVACY,privacy.card3.description,Third card description,Landing Page,"Bank-level encryption protects everything. Only people you explicitly authorize can see what you've chosen to share.","Bankwaardige versleuteling beschermt alles. Alleen mensen die jij expliciet autoriseert kunnen zien wat je gekozen hebt om te delen.",Technical security
PRIVACY,privacy.card4.title,Fourth card title,Landing Page,Maximum privacy mode available,Maximale privacy-modus beschikbaar,Extra privacy option
PRIVACY,privacy.card4.description,Fourth card description,Landing Page,"Want even less data shared? Use push-notification-only mode: No activity data, just simple check-ins you confirm yourself.","Wil je nog minder data delen? Gebruik de pushnotificatie-modus: geen activiteitsdata, alleen simpele check-ins die je zelf bevestigt.",Ultimate privacy mode
FAQ,faq.title,Section heading,Landing Page,Common questions,Veelgestelde vragen,Q&A section
FAQ,faq.q1.question,First FAQ question,Landing Page,Will I need to remember to check in daily?,Moet ik eraan denken om dagelijks in te checken?,Common concern
FAQ,faq.q1.answer,First FAQ answer,Landing Page,"No. SafeCircle works passively in the background. There are no buttons to press, no daily tasks, and nothing to remember.","Nee. SafeCircle werkt passief op de achtergrond. Er zijn geen knoppen om in te drukken, geen dagelijkse taken en niets om te onthouden.",Reassurance
FAQ,faq.q2.question,Second FAQ question,Landing Page,How is my information protected?,Hoe wordt mijn informatie beschermd?,Security concern
FAQ,faq.q2.answer,Second FAQ answer,Landing Page,"Your data is encrypted with bank-level security. You control exactly who can access what, and when. Your information is never shared without your permission.","Je data is versleuteld met bankwaardige beveiliging. Jij bepaalt precies wie toegang heeft tot wat, en wanneer. Je informatie wordt nooit gedeeld zonder jouw toestemming.",Security details
FAQ,faq.q3.question,Third FAQ question,Landing Page,Do my trusted contacts need to install the app?,Moeten mijn vertrouwde contacten de app installeren?,Technical question
FAQ,faq.q3.answer,Third FAQ answer,Landing Page,"No. Your trusted contacts can receive alerts via SMS, WhatsApp, or email. Installing the app gives them access to a dashboard for reassurance, but it's completely optional.","Nee. Je vertrouwde contacten kunnen waarschuwingen ontvangen via sms, WhatsApp of e-mail. De app installeren geeft ze toegang tot een dashboard voor geruststelling, maar het is volledig optioneel.",Flexibility
FAQ,faq.q4.question,Fourth FAQ question,Landing Page,What if I go on vacation or change my routine?,Wat als ik op vakantie ga of mijn routine verandert?,Lifestyle question
FAQ,faq.q4.answer,Fourth FAQ answer,Landing Page,"You can easily pause monitoring or adjust your routine settings anytime. SafeCircle adapts to your life, not the other way around.","Je kunt de monitoring makkelijk pauzeren of je routine-instellingen aanpassen wanneer je maar wilt. SafeCircle past zich aan jouw leven aan, niet andersom.",Adaptability
FAQ,faq.q5.question,Fifth FAQ question,Landing Page,How does the 14-day money-back guarantee work?,Hoe werkt de 14 dagen geld-terug-garantie?,Purchase concern
FAQ,faq.q5.answer,Fifth FAQ answer,Landing Page,"Try SafeCircle risk-free for 14 days. If you're not satisfied for any reason, simply cancel your subscription in the app within 14 days of your purchase and you'll automatically receive a full refund—no questions asked, no need to contact us.","Probeer SafeCircle 14 dagen zonder risico. Als je om welke reden dan ook niet tevreden bent, annuleer dan gewoon je abonnement in de app binnen 14 dagen na je aankoop en je krijgt automatisch je geld volledig terug—zonder vragen, zonder dat je contact hoeft op te nemen.",Money-back guarantee details
FINAL CTA,finalcta.title,Section heading,Landing Page,"Live independently, stay prepared","Woon zelfstandig, blijf voorbereid",Closing message
FINAL CTA,finalcta.subtitle,Section subtitle,Landing Page,Join SafeCircle today. 14-day money-back guarantee.,Word vandaag lid van SafeCircle. 14 dagen geld-terug-garantie.,Call to action
FINAL CTA,finalcta.button,Primary button,Landing Page,Get Started,Aan de slag,Action button
CHECKOUT,checkout.title,Page title,Checkout,Complete Your Purchase,Voltooi je Aankoop,Transactional page title
CHECKOUT,checkout.back,Back link,Checkout,Back to pricing,Terug naar prijzen,Return link
CHECKOUT,checkout.planselection.title,Plan selection heading,Checkout,Select Plan,Kies een Abonnement,Section heading
CHECKOUT,checkout.planselection.description,Plan selection description,Checkout,Choose the plan that's right for you,Kies het abonnement dat bij je past,Instructions
CHECKOUT,checkout.summary.title,Order summary heading,Checkout,Order Summary,Bestelsamenvatting,Section heading
CHECKOUT,checkout.summary.plan,Plan label in summary,Checkout,Plan:,Abonnement:,Order item label
CHECKOUT,checkout.summary.billing,Billing label in summary,Checkout,Billing:,Facturatie:,Billing frequency label
CHECKOUT,checkout.summary.subtotal,Subtotal label,Checkout,Subtotal:,Subtotaal:,Price calculation
CHECKOUT,checkout.summary.discount,Discount label,Checkout,Discount (20%):,Korting (20%):,Discount applied
CHECKOUT,checkout.summary.total,Total label,Checkout,Total today:,Totaal vandaag:,Final price
CHECKOUT,checkout.summary.renews,Renewal notice,Checkout,"Renews automatically every {period}. Cancel anytime.","Verlengt automatisch elke {period}. Stop wanneer je wilt.",Subscription terms
CHECKOUT,checkout.summary.secure,Secure payment icon text,Checkout,Secure payment,Veilige betaling,Trust indicator
CHECKOUT,checkout.summary.encrypted,Encrypted icon text,Checkout,Encrypted & protected,Versleuteld & beveiligd,Security badge
CHECKOUT,checkout.summary.moneyback,Money-back guarantee text,Checkout,14-day money-back guarantee,14 dagen geld-terug-garantie,Risk-free promise
CHECKOUT,checkout.account.title,Account section heading,Checkout,Create Your Account,Maak je Account aan,Account creation
CHECKOUT,checkout.account.description,Account section description,Checkout,Enter your email to get started,Voer je e-mailadres in om te beginnen,Instructions
